birth_city,news_updated,rotowire_id,injury_body_part,gsis_id,birth_date,years_exp,weight,depth_chart_position,high_school,sport,last_name,player_id,birth_state,team,status,number,yahoo_id,injury_status,position,pandascore_id,search_rank,rotoworld_id,search_full_name,full_name,espn_id,height,search_first_name,fantasy_data_id,hashtag,sportradar_id,stats_id,age,practice_description,injury_start_date,injury_notes,depth_chart_order,swish_id,college,birth_country,metadata,fantasy_positions,first_name,active,search_last_name,practice_participation
,1637720145101,15017,,,1997-04-12,2,230,,Ben Davis (IN),nfl,Bilal,7328,,,Active,0,32974,,LB,,9999999,,asmarbilal,Asmar Bilal,3932422,74,asmar,22320,#asmarbilal-NFL-FA-0,621e177a-e23d-489e-a747-369eb662f0de,,24,,,,,884552,Notre Dame,,,['LB'],Asmar,True,bilal,
,1637525717671,6682,,00-0027686,1988-06-08,12,335,NT,Central (KY),nfl,Peters,608,,ARI,Active,98,24058,,DT,,9999999,5886,coreypeters,Corey Peters,13292,75,corey,11437,#coreypeters-NFL-ARI-98,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,,33,,,,1,333992,Kentucky,,,['DL'],Corey,True,peters,
,,11626,,,1993-07-28,6,200,,Loyola (CA),nfl,Hightower,3925,,,Active,0,30053,,FS,,9999999,,leehightower,Lee Hightower,2573308,74,lee,18754,#leehightower-NFL-FA-0,2ac6848d-1482-4a1b-b4ee-886ccaef270d,,28,,,,,,Houston,,,['DB'],Lee,True,hightower,
,1588021862005,11001,,00-0032959,1992-10-16,6,209,,Dorman (SC),nfl,Peake,3396,,,Inactive,17,29475,,WR,,1042,11410,charonepeake,Charone Peake,2576498,74,charone,18157,#charonepeake-NFL-FA-17,58ea6518-6fb7-4e5a-a586-7202d4c5f07e,602104,29,,,,,,Clemson,,,['WR'],Charone,False,peake,
,,,,,,0,200,,,nfl,Fisher Jr,3956,,,Inactive,8,,,,,9999999,,kelvinfisherjr,Kelvin Fisher Jr,2574518,"5'11""",kelvin,18789,#kelvinfisherjr-NFL-FA-8,,,,,,,,,None,,,,Kelvin,False,fisherjr,
,1588023962396,13968,, 00-0035077,1995-11-05,3,193,,San Marin,nfl,Wilkins,6343,,,Active,18,32282,,QB,,9999999,,mannywilkins,Manny Wilkins,3128814,74,manny,21260,#mannywilkins-NFL-FA-18,941662f4-da41-48cf-a663-cfbd011491bb,820627,26,,,,,,Arizona State,,,['QB'],Manny,True,wilkins,
,1646412033606,10759,,00-0032765,1993-03-03,6,212,LWR,Woodland Hills Taft (CA),nfl,Thomas,3199,,NO,Active,13,29281,,WR,,44,11222,michaelthomas,Michael Thomas,2976316,75,michael,17960,#michaelthomas-NFL-NO-13,90c1756d-1f47-41b7-89fe-b113c9850bc1,653699,29,,,,1,653699,Ohio State,,{'injury_override_regular_2021_3': 'PUP'},['WR'],Michael,True,thomas,
,,,,,1990-09-25,1,222,,,nfl,Boyd,1850,,,Inactive,3,,,QB,,9999999,,tajhboyd,Tajh Boyd,16812,"6'1""",tajh,16058,#tajhboyd-NFL-FA-3,75404d15-88d6-43e0-9258-27112b070a43,506599,26,,,,,,Clemson,,,['QB'],Tajh,False,boyd,
,1598920530072,14120,, 00-0035119,1996-05-03,3,249,,Lancaster Catholic (PA),nfl,Scarff,6487,,,Inactive,85,32314,,TE,,9999999,,charlesscarff,Charles Scarff,3127376,77,charles,21275,#charlesscarff-NFL-FA-85,0c49b066-56ef-42dd-b9f1-1e956cced841,838249,25,,,,,,Delaware,,,['TE'],Charles,True,scarff,
,1641602148192,10408,,00-0032195,1994-01-02,7,193,RCB,Potomac (MD),nfl,Darby,2355,,DEN,Active,21,28438,,CB,,9999999,10375,ronalddarby,Ronald Darby,2969920,71,ronald,16811,#ronalddarby-NFL-DEN-21,c63eb787-fa1f-406b-82a1-2eed0a65b58c,,28,,,,1,691515,Florida State,,,['DB'],Ronald,True,darby,
,1640883341613,14380,,,1997-11-17,2,293,DE,McKinney North (TX),nfl,Madubuike,6818,,BAL,Active,92,32741,,DT,,9999999,,justinmadubuike,Justin Madubuike,4035245,75,justin,21900,#justinmadubuike-NFL-BAL-92,904f702b-e8b1-4fef-a4a0-278d18cc15e3,,24,,,,2,922136,Texas A&M,,,['DL'],Justin,True,madubuike,
,,,,,,0,200,,,nfl,Polk,8209,,,Active,,,,WR,,,,makaipolk,Makai Polk,,75,makai,,#makaipolk-NFL-FA,,,,,,,,,Mississippi State,,{'source_id': '5aa96f1e-8257-4551-be64-0ca0181faf32'},['WR'],Makai,True,polk,
,,6297,,,1985-07-27,12,204,,Pomona (CA),nfl,Abdullah,257,,,Inactive,39,9063,,FS,,9999999,5026,husainabdullah,Husain Abdullah,11910,"6'0""",husain,6411,#husainabdullah-NFL-FA-39,1c4cf2d1-5bcf-457a-9f5b-34e4949edfcd,,35,,,,,,Washington State,,,['DB'],Husain,False,abdullah,
,1640137230263,14431,,,1996-08-28,2,201,QB,Terra Nova (CA),nfl,Gordon,6898,,DEN,Active,15,33266,,QB,,274,,anthonygordon,Anthony Gordon,4055171,74,anthony,21816,#anthonygordon-NFL-DEN-15,71a2444a-a6b1-4e62-8974-2d858e2c5b73,,25,,,,3,924166,Washington State,,,['QB'],Anthony,True,gordon,
,,,,,1988-01-08,0,180,,,nfl,Rodriguez,2817,,,Inactive,3,29089,,WR,,9999999,,danielrodriguez,Daniel Rodriguez,2983134,"5'8""",daniel,17285,#danielrodriguez-NFL-FA-3,fa1ac661-9b71-4dbd-8321-f3c6a7ec79e6,700055,29,,,,,,Clemson,,,['WR'],Daniel,False,rodriguez,
,1554248138033,9676,,00-0031087,1992-05-30,8,195,,Port Allen (LA),nfl,Hal,1952,,,Inactive,29,27744,,FS,,9999999,9628,andrehal,Andre Hal,17467,70,andre,16203,#andrehal-NFL-FA-29,513caa63-d30d-4cde-b605-8cf825a4ef27,555644,29,,,,,,Vanderbilt,,,['DB'],Andre,False,hal,
,1568835621332,11007,,00-0033098,1992-09-29,6,250,,Glenville,nfl,Jones,3210,,,Inactive,7,29373,,QB,,9999999,10325,cardalejones,Cardale Jones,2976299,77,cardale,17971,#cardalejones-NFL-FA-7,92c02ef1-8400-4f5a-9420-6458755e14d4,653682,29,,,,,,Ohio State,,,['QB'],Cardale,False,jones,
,1648486814394,11926,,00-0033463,1995-06-29,5,265,LDE,Milton (GA),nfl,Lawson,4148,,NYJ,Active,58,30229,,DE,,555,12240,carllawson,Carl Lawson,3051911,74,carl,18994,#carllawson-NFL-NYJ-58,e75ed538-1888-4864-bd1d-e703d1ce4b5b,,26,,,,1,746888,Auburn,,,['DL'],Carl,True,lawson,
,1649721046673,13378,,00-0034867,1996-01-30,4,202,RWR,Sacred Heart-Griffin (IL),nfl,Turner,5781,,SF,Active,0,31777,,WR,,457,13906,malikturner,Malik Turner,3115928,74,malik,20684,#malikturner-NFL-SF-0,82a7e1ff-019a-4f4b-aeb6-c41420e44891,830686,26,,,,2,830686,Illinois,,,['WR'],Malik,True,turner,
,,,,,,0,,,,nfl,Helfrich,4888,,,Inactive,0,,,,,9999999,13066,markhelfrich,Mark Helfrich,,,mark,19786,#markhelfrich-NFL-FA-0,,,,,,,,,,,,,Mark,False,helfrich,
,1629159044233,14496,,,1998-11-12,2,224,RB,Central Catholic (OH),nfl,Warren,6992,,DET,Inactive,0,32972,,RB,,356,,michaelwarren,Michael Warren,4239083,71,michael,21793,#michaelwarren-NFL-DET-0,4a096c4e-7738-43b3-984c-7ea604a96742,,23,,,,15,,Cincinnati,,,['RB'],Michael,True,warren,
,,,,,1986-01-13,1,283,,,nfl,Finau,1746,,,Inactive,92,26139,,DE,,9999999,,tevitafinau,Tevita Finau,15704,"6'4""",tevita,15736,#tevitafinau-NFL-FA-92,d65f9afe-1001-4c56-9b0e-957250f79316,,31,,,,,,Utah,,,['DL'],Tevita,False,finau,
,,,,,,0,,,,nfl,Horton,3124,,,Inactive,0,,,,,9999999,9300,rayhorton,Ray Horton,,,ray,17878,#rayhorton-NFL-FA-0,,,,,,,,,,,,,Ray,False,horton,
,,10061,,,1991-03-31,2,190,,,nfl,Allen,2041,,,Inactive,83,27844,,WR,,9999999,,torrenceallen,Torrence Allen,16962,"6'0""",torrence,16333,#torrenceallen-NFL-FA-83,ec251689-808b-4f35-b1f7-743d4a37722a,794253,27,,,,,,West Texas A&M,,,['WR'],Torrence,False,allen,
,,,,,1991-06-23,1,215,,,nfl,Furney,2286,,,Inactive,8,,,K,,9999999,,andrewfurney,Andrew Furney,17492,"5'10""",andrew,16719,#andrewfurney-NFL-FA-8,4b482230-621c-4b7f-8d5d-cf50da82e7c4,560191,26,,,,,,Washington State,,,['K'],Andrew,False,furney,
,1544580937621,11912,,00-0033961,1992-08-20,5,248,,Billings West (MT),nfl,Donahue,4211,,,Inactive,49,30294,,OLB,,9999999,,dylandonahue,Dylan Donahue,2584628,75,dylan,19057,#dylandonahue-NFL-FA-49,139d8533-cbd7-4a41-9567-f1ce1c641311,,29,,,,,,West Georgia,,,['LB'],Dylan,False,donahue,
,,,,,,,,,,nfl,Commanders,WAS,,WAS,,,,,DEF,,,,,,,,,,,,,,,,,,,,,,['DEF'],Washington,True,,
,,,,,1989-06-10,4,316,,,nfl,Chapman,1294,,,Inactive,96,25846,,NT,,9999999,,joshchapman,Josh Chapman,15039,"6'1""",josh,14760,#joshchapman-NFL-FA-96,2f0190fc-16ce-486c-bcb5-f752ed345275,,28,,,,,,Alabama,,,['DL'],Josh,False,chapman,
,1535844652782,9550,,00-0031277,1991-05-07,6,208,,Miami Southridge (FL),nfl,Oliver,2050,,,Inactive,40,28272,,RB,,9999999,10198,brandenoliver,Branden Oliver,17452,"5'8""",branden,16345,#brandenoliver-NFL-FA-40,7dac43ce-3a74-4033-b63f-bf9171a24a55,506492,29,,,,,,Buffalo,,,['RB'],Branden,False,oliver,
,,,,,1977-01-20,14,233,,,nfl,Lindell,256,,,Inactive,4,,,K,,9999999,,rianlindell,Rian Lindell,,"6'3""",rian,6410,#rianlindell-NFL-FA-4,,,40,,,,,,Washington State,,,['K'],Rian,False,lindell,
,1615572315965,8306,,00-0029530,1990-06-17,10,200,RCB,Blythewood (SC),nfl,Bethel,1216,,NE,Active,29,25887,,DB,,9999999,7622,justinbethel,Justin Bethel,15089,72,justin,14469,#justinbethel-NFL-NE-29,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,461022,31,,,,3,461022,Presbyterian,,{'injury_override_regular_2020_5': 'COV'},['DB'],Justin,True,bethel,
,,,,,,0,,,,nfl,Robiskie,3126,,,Inactive,0,,,,,9999999,11241,terryrobiskie,Terry Robiskie,,,terry,17880,#terryrobiskie-NFL-FA-0,,,,,,,,,,,,,Terry,False,robiskie,
,,,,,1988-04-09,4,188,,,nfl,Broyles,1154,,,Inactive,84,25764,,WR,,9999999,,ryanbroyles,Ryan Broyles,14919,"5'10""",ryan,14203,#ryanbroyles-NFL-FA-84,a84c6342-3333-4af7-bf29-ea954e156835,381163,29,,,,,,Oklahoma,,,['WR'],Ryan,False,broyles,
,1646947237717,12616,,00-0034837,1994-12-20,4,190,RWR,Monarch (FL),nfl,Ridley,4981,,ATL,Inactive,18,30996,Sus,WR,,38,13137,calvinridley,Calvin Ridley,3925357,73,calvin,19802,#calvinridley-NFL-ATL-18,926e2674-52d6-4cec-9991-46ee85cc8cfd,884013,27,,,,3,884013,Alabama,,"{'injury_override_off_2022_1': 'Sus', 'injury_override_off_2022_0': 'Sus'}",['WR'],Calvin,True,ridley,
,1534639807758,12047,,,1993-12-16,5,317,,Humble (TX),nfl,Boyette,4440,,,Inactive,91,30624,,DE,,9999999,,paulboyette,Paul Boyette,2971696,75,paul,19301,#paulboyette-NFL-FA-91,4e200230-c115-46ac-a560-da77f9001567,,28,,,,,,Texas,,,['DL'],Paul,True,boyette,
,1537319403953,12307,,00-0033773,1993-06-16,5,185,,Wahlert (IA),nfl,McCarron,4614,,,Inactive,17,30808,,WR,,9999999,12896,rileymccarron,Riley McCarron,2988624,69,riley,19504,#rileymccarron-NFL-FA-17,ab9cf0fc-f4e4-4d18-8132-97e518eb14f3,702925,28,,,,,,Iowa,,,['WR'],Riley,False,mccarron,
,,,,,1990-06-18,0,285,,,nfl,Davis,2782,,,Inactive,67,,,DE,,9999999,,nikodavis,Niko Davis,2575185,"6'5""",niko,17250,#nikodavis-NFL-FA-67,d589f707-c40d-44b2-8c44-bf78e2d222bc,,28,,,,,,Liberty,,,['DL'],Niko,False,davis,
,1531878301459,12035,,00-0033586,1994-10-29,5,172,,Northview (AL),nfl,White,4237,,,Active,39,30329,,CB,,9999999,12418,marquezwhite,Marquez White,3045378,73,marquez,19083,#marquezwhite-NFL-FA-39,db4eadbd-ef43-444c-9e33-1ee781dc9965,742157,27,,,,,,Florida State,,,['DB'],Marquez,True,white,
,1567195556672,10898,,00-0032593,1993-07-22,6,220,,Blythewood (SC),nfl,Wilds,3573,,,Inactive,35,29661,,RB,,9999999,11682,brandonwilds,Brandon Wilds,2577692,72,brandon,18349,#brandonwilds-NFL-FA-35,abeef681-4be7-4ff3-9076-c72ec5a1b2e4,604939,28,,,,,,South Carolina,,,['RB'],Brandon,False,wilds,
,1524271501245,8351,,,1990-05-09,8,206,,Dunwoody (GA),nfl,White,1191,,,Inactive,38,25872,,CB,,9999999,,coreywhite,Corey White,15086,"6'1""",corey,14370,#coreywhite-NFL-FA-38,ccf1d49a-deda-4254-abd2-1ee79eb34c13,459492,30,,,,,,Samford,,,['DB'],Corey,False,white,
,,10142,,,1989-01-11,7,211,,Frontier (NY),nfl,Schum,1399,,,Inactive,10,26613,,P,,9999999,,jacobschum,Jacob Schum,15774,"5'11""",jacob,14941,#jacobschum-NFL-FA-10,cdfb58eb-2920-47d4-9c24-df5de536450e,544154,31,,,,,,Buffalo,,,['P'],Jacob,False,schum,
,1534082406005,8221,,,1989-04-27,8,320,,Lincoln (OH),nfl,Hughes,1080,,,Inactive,91,25797,,DT,,9999999,,johnhughes,John Hughes,14954,"6'2""",john,13896,#johnhughes-NFL-FA-91,51e6e64c-7150-4588-847a-44b9ce7e0903,382267,31,,,,,,Cincinnati,,,['DL'],John,False,hughes,
,1640297739252,15498,,,1999-05-13,1,313,LT,Central Catholic (OH),nfl,Hudson,7728,,CLE,Active,66,,,OT,,9999999,,jameshudson,James Hudson,,77,james,,#jameshudson-NFL-CLE-66,9a147206-ba5e-49b9-801c-a7f6832be2c5,,22,,,,3,1074707,Cincinnati,,,"['OT', 'OL']",James,True,hudson,
,1508894701681,11584,,,1994-01-20,6,240,,Hollister,nfl,DiSalvo,3756,,,Inactive,49,29826,,LS,,9999999,,ryandisalvo,Ryan DiSalvo,2981193,76,ryan,18568,#ryandisalvo-NFL-FA-49,560dbfe1-923d-49ef-a5dd-a24b2f6b1f5d,,27,,,,,,San Jose State,,,['LS'],Ryan,True,disalvo,
,,,,,1989-02-28,1,260,,,nfl,Mackey,2874,,,Inactive,78,28367,,DE,,9999999,,leonmackey,Leon Mackey,2577644,"6'5""",leon,17342,#leonmackey-NFL-FA-78,e4192fdc-8e9d-43d1-91f0-0ca77f673920,,28,,,,,,Texas Tech,,,['DL'],Leon,False,mackey,
,1649172646668,10409,,00-0032059,1993-06-01,7,196,SCB,Vanguard (FL),nfl,Williams,2383,,NO,Active,26,28466,,CB,,9999999,10449,pjwilliams,P.J. Williams,2977661,72,pj,16839,#pjwilliams-NFL-NO-26,36538da8-9ac7-4f7d-beb4-8b773da4a080,,28,,,,1,691535,Florida State,,,['DB'],P.J.,True,williams,
,,,,,,0,175,,,nfl,Pimpleton,8248,,,Active,,,,WR,,,,kalilpimpleton,Kalil Pimpleton,,69,kalil,,#kalilpimpleton-NFL-FA,,,,,,,,,Central Michigan,,{'source_id': '8bc677f4-c34b-4ef6-960d-054b7b3d42a0'},['WR'],Kalil,True,pimpleton,
,1640733002767,14931,,,1996-02-02,2,210,SS,Citrus (FL),nfl,Franklin,7224,,CAR,Active,42,33137,,DB,,9999999,,samfranklin,Sam Franklin,4044133,75,sam,22226,#samfranklin-NFL-CAR-42,3b1bb0da-607a-4502-8855-8ab5095334da,,26,,,,3,943656,Temple,,,['DB'],Sam,True,franklin,
,1568813121831,14041,, 00-0035484,1996-04-18,3,250,,Reading Memorial (MA),nfl,Belcher,6374,,,Active,82,32153,,TE,,9999999,,drewbelcher,Drew Belcher,3120540,75,drew,21319,#drewbelcher-NFL-FA-82,7467134f-8eb3-4fde-ac64-e2fc9f9789db,830271,25,,,,,,Maine,,,['TE'],Drew,True,belcher,
,1641851140022,9491,,00-0030669,1992-07-12,8,195,SWR,Port St. Lucie (FL),nfl,Wilson,2025,,MIA,Active,2,28046,,WR,,9999999,9572,albertwilson,Albert Wilson,17051,69,albert,16308,#albertwilson-NFL-MIA-2,2958ea86-e2dc-4719-93e5-cc9d093ca963,556955,29,,,,2,556955,Georgia State,,,['WR'],Albert,True,wilson,
,1599605455494,13487,, 00-0035016,1997-05-05,3,232,RILB,Lake Dallas (TX),nfl,Tauaefa,6160,,,Active,0,32241,,ILB,,1604,,josiahtauaefa,Josiah Tauaefa,3914595,73,josiah,20958,#josiahtauaefa-NFL-FA-0,18750e3f-5625-4253-ac44-61c6b8fc07d4,881829,24,,,,3,,UTSA,,,['LB'],Josiah,True,tauaefa,
,,,,,1988-05-21,9,200,,York Comprehensive (SC),nfl,Lanning,1707,,,Inactive,4,25150,,P,,9999999,,spencerlanning,Spencer Lanning,14342,"5'11""",spencer,15603,#spencerlanning-NFL-FA-4,4ca3e1bb-6604-41df-b86f-4b07c758421c,,32,,,,,,South Carolina,,,['P'],Spencer,False,lanning,
,,,,,,0,,,,nfl,Spanos,3114,,,Inactive,0,,,,,9999999,9467,deanspanos,Dean Spanos,,,dean,17867,#deanspanos-NFL-FA-0,,,,,,,,,,,,,Dean,False,spanos,
,1569283535171,7122,, 00-0023177,1981-08-26,17,240,,Philipsburg-Osceola (PA),nfl,Condo,199,,,Active,59,7455,,LS,,9999999,,joncondo,Jon Condo,9276,75,jon,5083,#joncondo-NFL-FA-59,9c6d7765-03dd-4266-aeaa-926e5a85235f,,40,,,,,,Maryland,,,['LS'],Jon,True,condo,
,1647288014114,10269,,00-0032234,1992-02-09,7,323,RG,Lane Technical (IL),nfl,Tomlinson,2333,,NYJ,Active,0,28416,,OL,,9999999,10454,lakentomlinson,Laken Tomlinson,2512477,75,laken,16789,#lakentomlinson-NFL-NYJ-0,d0b7699f-5e18-4631-813d-2f709ee4b281,,30,,,,1,556181,Duke,,,"['OL', 'OG']",Laken,True,tomlinson,
,1539104710413,7518,,00-0028069,1989-07-10,11,195,,Palmdale (CA),nfl,House,929,,,Injured Reserve,0,24918,,CB,,9999999,6574,davonhouse,Davon House,14157,72,davon,13236,#davonhouse-NFL-FA-0,bb6c7928-54f1-43bd-bf14-f2645644dda9,410959,32,,,,,,New Mexico State,,,['DB'],Davon,False,house,
,1645569607000,11881,,00-0033292,1994-04-30,5,178,RWR,Evangel Christian Academy (LA),nfl,Taylor,4218,,CIN,Active,11,30290,,WR,,9999999,12305,trenttaylor,Trent Taylor,3040569,68,trent,19064,#trenttaylor-NFL-CIN-11,3e2e74e9-18a8-4275-9437-b275db27e2ff,733849,27,,,,2,733849,Louisiana Tech,,,['WR'],Trent,True,taylor,
,1641826836995,15266,,,1998-07-16,1,189,RB,Great Oak (CA),nfl,Felton,7609,,CLE,Active,25,,,RB,,392,,demetricfelton,Demetric Felton,,69,demetric,,#demetricfelton-NFL-CLE-25,0752f1c9-fc3e-44bc-b6ad-03f8f7f4191c,,23,,,,4,914812,UCLA,,{'source_id': 'db0c451f-c60a-4865-9eb2-38db5aa86a1e'},['RB'],Demetric,True,felton,
,1640892642729,15610,,,1997-08-07,1,318,NT,Mesquite (AZ),nfl,Lopez,7799,,HOU,Active,91,,,DT,,9999999,,roylopez,Roy Lopez,,74,roy,,#roylopez-NFL-HOU-91,23a30b80-1549-4ae8-afac-0fa99636c71e,,24,,,,1,912754,Arizona,,,['DL'],Roy,True,lopez,
,1608166802697,9844,,,1990-11-01,8,195,,La Joya (TX),nfl,Castillo,7515,,,Active,6,,,K,,,,sergiocastillo,Sergio Castillo,,71,sergio,,#sergiocastillo-NFL-FA-6,1f2c7574-f56a-47b3-bd75-5dd0d5ff8d93,,31,,,,,,West Texas A&amp;M,,,['K'],Sergio,True,castillo,
,1642131912988,10251,,00-0031585,1992-03-24,7,245,LTE,Kirkwood (MO),nfl,Pruitt,2446,,TEN,Active,85,28531,,TE,,9999999,,mycolepruitt,MyCole Pruitt,2508256,74,mycole,16903,#mycolepruitt-NFL-TEN-85,f22b34cf-6ecf-4522-9c77-1da275dfda7d,552586,30,,,,3,552586,Southern Illinois,,{'injury_override_regular_2020_5': 'Active'},['TE'],MyCole,True,pruitt,
,1648332635728,13701,, 00-0035133,1997-06-22,3,200,SCB,Salesian (CA),nfl,Nixon,6333,,GB,Active,25,32348,,CB,,9999999,,keiseannixon,Keisean Nixon,4259493,70,keisean,21239,#keiseannixon-NFL-GB-25,e94ac14d-0122-4dc8-ad20-b71226cb8cfe,,24,,,,2,1067178,South Carolina,,,['DB'],Keisean,True,nixon,
,1571521825824,10661,,00-0032089,1992-05-30,7,265,,McQuaid Jesuit (NY),nfl,Parker,2653,,,Inactive,89,28688,,TE,,9999999,,brianparker,Brian Parker,2508328,76,brian,17121,#brianparker-NFL-FA-89,c5606f69-f550-4b4a-b61a-f1f71142a32f,556849,29,,,,,,"Albany, N.Y.",,,['TE'],Brian,False,parker,
,1608080451561,8987,,00-0030112,1990-09-10,9,246,,North Fort Myers (FL),nfl,Bohanon,1369,,,Inactive,48,26838,,FB,,9999999,,tommybohanon,Tommy Bohanon,15973,73,tommy,14891,#tommybohanon-NFL-FA-48,97c96dce-9b33-4d0e-ba01-5eb629192d19,496208,31,,,,,,Wake Forest,,,['RB'],Tommy,False,bohanon,
,1629303051792,14499,,,1999-01-20,2,295,DT,Round Rock (TX),nfl,Lynch,6858,,MIN,Active,92,32800,,DT,,9999999,,jameslynch,James Lynch,4259181,76,james,21894,#jameslynch-NFL-MIN-92,ce8b21f7-6f93-40e6-8068-0432e10d855f,,23,,,,2,1066890,Baylor,,,['DL'],James,True,lynch,
,,13146,,00-0034224,1995-11-29,4,188,,Brackenridge,nfl,Richards,5527,,,Active,47,31448,,SS,,9999999,,ramonrichards,Ramon Richards,3122442,71,ramon,20573,#ramonrichards-NFL-FA-47,cc5a9d4b-7838-470d-8c36-182e97ff161d,,26,,,,,,Oklahoma State,,,['DB'],Ramon,True,richards,
,1573603256747,12317,,00-0033845,1994-12-13,5,178,,Crenshaw (CA),nfl,Hatfield,4720,,,Inactive,36,30865,,CB,,9999999,,dominiquehatfield,Dominique Hatfield,3052502,70,dominique,19628,#dominiquehatfield-NFL-FA-36,2cf86b24-50e1-4047-83cb-afd82b17aa91,733254,27,,,,,,Utah,,,['DB'],Dominique,False,hatfield,
,,8472,,,1989-02-10,1,304,,,nfl,Alecxih,2288,,,Inactive,65,26268,,DT,,9999999,,chasalecxih,Chas Alecxih,15353,"6'4""",chas,16725,#chasalecxih-NFL-FA-65,1fde3c16-427a-4b51-9d0c-904a5d7a3e6d,,29,,,,,,Pittsburgh,,,['DL'],Chas,False,alecxih,
,1520893801859,7479,,00-0028620,1987-09-01,9,246,,Conestoga (PA),nfl,Herzlich,909,,,Inactive,44,25509,,LB,,9999999,,markherzlich,Mark Herzlich,14262,"6'4""",mark,13140,#markherzlich-NFL-FA-44,30be69a5-f203-49dc-a354-19e4733a80da,,33,,,,,,Boston College,,,['LB'],Mark,False,herzlich,
